category,department,expense_category,exp_type_category,expense_name,amount,fund_key
Fire/EMS,Fire Department,Building Expenses,Building Expenses,LEVY-FIRE STATION 2 BLDG SYS,17771,capital
Fire/EMS,Fire Department,Building Expenses,Building Expenses,LEVY-FIRE STATION 3 BLDG SYS,17770,capital
Fire/EMS,Fire Department,Equipment Materials & Supplies,Equipment Materials & Supplies,BLDG CUSTODIAL SUPPLIES,4000,general
Fire/EMS,Fire Department,Equipment Materials & Supplies,Equipment Materials & Supplies,BLDG CUSTODIAL SUPPLIES,4000,general
Fire/EMS,Fire Department,Equipment Materials & Supplies,Equipment Materials & Supplies,EQUIPMENT EXPENSE,1500,general
Fire/EMS,Fire Department,Equipment Materials & Supplies,Equipment Materials & Supplies,EQUIPMENT EXPENSE,1000,general
Fire/EMS,Fire Department,Equipment Materials & Supplies,Equipment Materials & Supplies,EQUIPMENT EXPENSE,25000,general
Fire/EMS,Fire Department,Equipment Materials & Supplies,Equipment Materials & Supplies,MEDICAL/EMS SUPPLIES,10815,general
Fire/EMS,Fire Department,Equipment Materials & Supplies,Equipment Materials & Supplies,OPERATING MATERIALS & SUPPLIES,10300,general
Fire/EMS,Fire Department,Equipment Materials & Supplies,Equipment Materials & Supplies,REPAIR & MAINT SUPPLIES,4000,general
Fire/EMS,Fire Department,Equipment Materials & Supplies,Equipment Materials & Supplies,REPAIR & MAINT SUPPLIES,2500,general
Fire/EMS,Fire Department,Equipment Materials & Supplies,Equipment Materials & Supplies,REPAIR & MAINT SUPPLIES,3180,general
Fire/EMS,Fire Department,Equipment Replacement Funds,Equipment Replacement Funds,LEVY-FRATS,16391,capital
Fire/EMS,Fire Department,Gasoline and Fuel,"Vehicle Expense, Gas, Fuel",GASOLINE/DIESEL FUEL,41200,general
Fire/EMS,Fire Department,General Office,General Office,COMMUNICATIONS EXPENSE,11845,general
Fire/EMS,Fire Department,General Office,General Office,LEASE/RENTAL COSTS,9270,general
Fire/EMS,Fire Department,General Office,General Office,OFFICE SUPPLIES & POSTAGE,3090,general
Fire/EMS,Fire Department,General Office,General Office,PUBLIC INFORMATION & EDUCATION,5150,general
Fire/EMS,Fire Department,General Office,General Office,"PUBLICATIONS, DUES",5800,general
Fire/EMS,Fire Department,IT Expenses,IT Expenses,IT CAPITAL ISF ALLOCATION,21755,general
Fire/EMS,Fire Department,IT Expenses,IT Expenses,IT OPERATING ISF ALLOCATION,243695,general
Fire/EMS,Fire Department,Insurance Expenses,Insurance Expenses,INSURANCE ISF ALLOCATION,159823,general
Fire/EMS,Fire Department,Salary & Benefits,Salary & Benefits,DENTAL INS,22715,general
Fire/EMS,Fire Department,Salary & Benefits,Salary & Benefits,DISABILITY INS,8098,general
Fire/EMS,Fire Department,Salary & Benefits,Salary & Benefits,FICA,205120,general
Fire/EMS,Fire Department,Salary & Benefits,Salary & Benefits,HEALTH INS,458481,general
Fire/EMS,Fire Department,Salary & Benefits,Salary & Benefits,HOLIDAY PREMIUM,26174,general
Fire/EMS,Fire Department,Salary & Benefits,Salary & Benefits,LIFE INS,4964,general
Fire/EMS,Fire Department,Salary & Benefits,Salary & Benefits,LONGEVITY,7740,general
Fire/EMS,Fire Department,Salary & Benefits,Salary & Benefits,OVERTIME,215968,general
Fire/EMS,Fire Department,Salary & Benefits,Salary & Benefits,POC SERVICES,614374,general
